commodity,snap_rank,snap_dollars_in_mil,snap_percent_total_exp,non_snap_rank,non_snap_dollars_in_mil,non_snap_percent_total_exp,usda_food_pattern
Chicken & poultry,104,18.7,0.0028,140,50.3,0.0016,Protein Foods
Refrigerated dairy case,105,18.6,0.0028,26,284.7,0.009,Dairy
Dry cheese,106,18.5,0.0028,111,79.1,0.0025,Dairy
Stone fruit,107,18.3,0.0028,73,138.6,0.0044,Fruit
Molasses/syrups/pancake mixes,108,17.9,0.0027,110,80.6,0.0026,Solid Fats & Added Sugar
Peppers,109,17.7,0.0027,76,133.4,0.0042,Vegetables
Fruit snacks,110,17.6,0.0027,152,43.2,0.0014,Fruit
Vegetables cooking bulk,111,17.3,0.0026,68,150.6,0.0048,Vegetables
Sandwiches,112,16.9,0.0026,124,67.7,0.0021,Composite
Service case meat,113,16.8,0.0026,97,101.4,0.0032,Protein Foods
Melons,114,16.7,0.0025,89,113.2,0.0036,Fruit
Popcorn,115,15.3,0.0023,117,76.6,0.0024,Grains
Warehouse snacks,116,14.7,0.0022,125,67.1,0.0021,Composite
Dry mix desserts,117,14.7,0.0022,128,65,0.0021,Solid Fats & Added Sugar
Single serve fruit/applesauce,118,14.6,0.0022,127,65.4,0.0021,Fruit
Frozen seafood,119,13.8,0.0021,155,41,0.0013,Protein Foods
Flour & meals,120,13.8,0.0021,126,65.7,0.0021,Grains
Pickle/relish/pckld veg&olives,121,13.5,0.0021,106,83.1,0.0026,Other
Turkey grinds,122,13.1,0.002,113,78,0.0025,Protein Foods
Bulk service case cheese,123,12.5,0.0019,104,87.1,0.0028,Dairy
Pies,124,12.3,0.0019,123,67.7,0.0021,Composite
Water,125,12.3,0.0019,122,67.8,0.0022,Solid Fats & Added Sugar
Sushi,126,11.8,0.0018,94,104.6,0.0033,Composite
Teas,127,11.4,0.0017,116,76.9,0.0024,Solid Fats & Added Sugar
Authentic Hispanic foods&products,128,11,0.0017,165,31.7,0.001,Composite
Cookie/cracker multi_pks,129,10.9,0.0016,136,52.7,0.0017,Grains
Carrots,130,10.6,0.0016,98,97.3,0.0031,Vegetables
Pork shoulder,131,10.5,0.0016,164,32.1,0.001,Protein Foods
Cocoa mixes,132,10.4,0.0016,153,43,0.0014,Solid Fats & Added Sugar
Juices super premium,133,10.3,0.0016,130,63.2,0.002,Fruit
Snack meat,134,10.3,0.0016,147,47.9,0.0015,Protein Foods
Seafood _ catfish,135,9.8,0.0015,191,17.6,0.0006,Protein Foods
Turkey frozen,136,9.7,0.0015,138,51.8,0.0016,Protein Foods
Specialty cheese pre pack,137,9.6,0.0015,67,152.4,0.0048,Dairy
Smoked pork,138,9.4,0.0014,156,39.2,0.0012,Protein Foods
Frozen ice,139,9.3,0.0014,142,49.9,0.0016,Other
Seafood _ crab,140,9.2,0.0014,182,24.5,0.0008,Protein Foods
Mushrooms,141,9.1,0.0014,105,85.7,0.0027,Vegetables
Value added vegetables,142,9,0.0014,115,77,0.0024,Vegetables
Seafood _ value added seafood,143,8.9,0.0014,178,25.6,0.0008,Protein Foods
Sweet goods & snacks,144,8.6,0.0013,146,48.3,0.0015,Solid Fats & Added Sugar
Meat snacks,145,8.5,0.0013,170,29.3,0.0009,Protein Foods
Single serve/vending _ salty snacks,146,8.4,0.0013,197,15.8,0.0005,Protein Foods
Traditional Asian foods,147,8.3,0.0013,134,59.8,0.0019,Vegetables
Frozen juice and smoothies,148,7.7,0.0012,150,44.9,0.0014,Solid Fats & Added Sugar
Broccoli/cauliflower,149,7.4,0.0011,118,76.5,0.0024,Vegetables
Beef: rib,150,7.3,0.0011,151,43.3,0.0014,Protein Foods
Refrigerated desserts,151,7,0.0011,143,49.5,0.0016,Composite
Croutons/bread stick&salad top,152,6.9,0.0011,171,29.1,0.0009,Grains
Dietary aid product/med liq nutr,153,6.8,0.001,132,62.9,0.002,Grains
Dressings/dips,154,6.6,0.001,139,51.7,0.0016,Oils
Party tray,155,6.6,0.001,154,42.6,0.0014,Composite
Corn,156,6.5,0.001,149,45.3,0.0014,Vegetables
Canned & dry milk,157,6.1,0.0009,163,33.1,0.001,Dairy
Fitness & diet,158,5.8,0.0009,101,95.8,0.003,Composite
Juice,159,5.8,0.0009,148,46.2,0.0015,Fruit
Single serve sweet goods,160,5.7,0.0009,196,16.2,0.0005,Composite
Refrigerated hispanic grocery,161,5.7,0.0009,177,26.5,0.0008,Grains
Enhancements (Pickles/Spreads),162,5.6,0.0008,174,27.3,0.0009,Other
Convenience/snacking,163,5.5,0.0008,173,28.5,0.0009,Fruit
Dried fruit,164,5.4,0.0008,137,52.6,0.0017,Fruit
Seafood _ salmon_farm raised,165,5,0.0008,144,48.8,0.0015,Protein Foods
Frozen whipped topping,166,5,0.0008,167,30.9,0.001,Solid Fats & Added Sugar
Deli meat: presliced,167,4.9,0.0007,129,63.8,0.002,Protein Foods
Herbs/garlic,168,4.8,0.0007,141,50,0.0016,Vegetables
Seafood _ party trays,169,4.8,0.0007,181,24.8,0.0008,Composite
Salad bar,170,4.5,0.0007,188,18.2,0.0006,Fruit
Seafood _ salmon_wild caught,171,4.5,0.0007,158,36.7,0.0012,Protein Foods
Frozen fruits,172,4.3,0.0007,145,48.6,0.0015,Fruit
Single serve/vending _ cookie/cracker,173,4.1,0.0006,211,9.1,0.0003,Composite
Chicken specialty/natural,174,3.8,0.0006,166,31.5,0.001,Protein Foods
Cereals,175,3.8,0.0006,131,63,0.002,Grains
Pork offal,176,3.5,0.0005,232,4.2,0.0001,Protein Foods
Pears,177,3.5,0.0005,162,33.6,0.0011,Fruit
Frozen meatless,178,3.3,0.0005,169,30,0.001,Composite
Seafood _ tilapia,179,3.2,0.0005,194,16.4,0.0005,Protein Foods
Non_dairy/dairy aseptic,180,3.1,0.0005,168,30.5,0.001,Dairy
Refrigerated italian,181,2.9,0.0004,159,36.6,0.0012,Vegetables
Rice cakes,182,2.8,0.0004,184,22.4,0.0007,Grains
Vinegar&cooking wines,183,2.8,0.0004,176,27.2,0.0009,Other
Seafood _ salad/dip/sce/cond,184,2.8,0.0004,223,6.2,0.0002,Protein Foods
Refrigerated vegetarian,185,2.8,0.0004,180,24.8,0.0008,Protein Foods
Cake decor,186,2.7,0.0004,199,15.4,0.0005,Solid Fats & Added Sugar
Frozen pasta,187,2.6,0.0004,193,16.9,0.0005,Grains
Syrups toppings & cones,188,2.6,0.0004,202,14.1,0.0004,Grains
Snacks,189,2.6,0.0004,157,37.6,0.0012,Grains
Trail mix & snacks,190,2.5,0.0004,189,18.1,0.0006,Solid Fats & Added Sugar
Snack,191,2.5,0.0004,160,35.6,0.0011,Grains
Prepared/pdgd foods,192,2.3,0.0004,161,34.1,0.0011,Fruit
Turkey fresh,193,2.3,0.0004,192,17,0.0005,Protein Foods
Condiments,194,2.3,0.0003,175,27.2,0.0009,Protein Foods
Seafood _ fin fish other,195,2.2,0.0003,225,5.8,0.0002,Protein Foods
Seafood _ lobster,196,2.2,0.0003,204,13,0.0004,Protein Foods
Pre_slice service case cheese,197,2.1,0.0003,172,28.6,0.0009,Dairy
Spices/jarred garlic,198,2.1,0.0003,205,12.4,0.0004,Vegetables
Vegetables cooking packaged,199,2,0.0003,187,18.3,0.0006,Vegetables
Mixers,200,1.9,0.0003,195,16.4,0.0005,Solid Fats & Added Sugar
Poultry other,201,1.8,0.0003,219,6.7,0.0002,Protein Foods
Pork bone in loin/rib,202,1.8,0.0003,214,7.6,0.0002,Protein Foods
